Age,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,,
2,,544,488,,,24,,296,8,"2,752",88,,
3,209,1177,348,578,435,2946,869,7612,8655,14718,1294,,
4,1758,19353,1772,2866,6186,22958,11423,6589,27181,58619,7738,,
5,4996,12493,15136,5464,5168,19756,70311,19301,11407,53331,59987,,
6,17901,9362,6751,27411,4652,8055,29344,48418,18264,8994,40726,,
7,6622,17367,7501,6622,20250,6980,7816,22517,30864,9152,5791,,
8,6400,3967,17177,3881,4492,23126,5050,3973,11355,15125,4403,,
9,24418,4061,3181,5996,2743,4359,13772,1708,2543,2595,6667,,
10,2345,8893,3652,1124,5363,2333,2433,6768,1027,539,1166,,
11,4106,1271,12981,1477,805,4724,1709,1104,4138,472,276,,
12,1014,1899,1691,4327,1438,528,2599,1156,591,1864,122,,
13,1363,485,2168,999,5195,1138,720,2325,321,73,981,,
14,2893,436,725,836,741,5052,1219,189,933,34,137,,
15,1194,1383,3271,960,1859,2383,2897,3718,747,265,234,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
